name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
EMG Pro Elliptical,emg-pro-elliptical,"Smooth magnetic elliptical with 16 resistance levels and pulse sensors. Built for serious home cardio.",emg-pro-elliptical.jpg,category:Cardio|featured:Featured,,,ELL-PRO-01,1150000.00,Standard Tax,40,true,,
EMG Recumbent Bike X3,emg-recumbent-bike-x3,"Comfort-first recumbent bike with wide seat, LCD console, and quiet flywheel — ideal for joint-friendly training.",emg-recumbent-bike-x3.jpg,category:Cardio,,,BIKE-REC-03,850000.00,Standard Tax,35,true,,
EMG Upright Bike S2,emg-upright-bike-s2,"Compact upright bike with adjustable seat and 14 programs for efficient daily cardio.",emg-upright-bike-s2.jpg,category:Cardio|featured:Featured,,,BIKE-UP-02,550000.00,Standard Tax,50,true,,
EMG Studio Indoor Cycle,emg-studio-indoor-cycle,"Belt-drive indoor cycle with micro-adjust resistance and SPD-compatible pedals for studio-style rides.",emg-studio-indoor-cycle.jpg,category:Cardio,,,CYCLE-ST-01,1020000.00,Standard Tax,28,true,,
EMG Rowing Machine R1,emg-rowing-machine-r1,"Full-body magnetic rower with aluminum rail and fold-away storage for apartments and home gyms.",emg-rowing-machine-r1.jpg,category:Cardio|featured:Featured,,,ROW-R1-01,960000.00,Standard Tax,30,true,,
EMG Power Rack Pro,emg-power-rack-pro,"Heavy-duty power rack with pull-up bar, safety pins, and J-hooks. Rated for serious strength work.",emg-power-rack-pro.jpg,category:Strength|featured:Featured,,,STR-RACK-01,1540000.00,Standard Tax,20,true,,
EMG Adjustable Dumbbells 40kg,emg-adjustable-dumbbells-40kg,"Pair of adjustable dumbbells from 5–40kg with quick-select dial — replace an entire weight set.",emg-adjustable-dumbbells-40kg.jpg,category:Strength|featured:Featured,,,STR-DB-40,705000.00,Standard Tax,60,true,,
EMG Olympic Barbell 20kg,emg-olympic-barbell-20kg,"20kg Olympic barbell with knurled grip and chrome sleeves. Compatible with 50mm plates.",emg-olympic-barbell-20kg.jpg,category:Strength,,,STR-BB-20,245000.00,Standard Tax,80,true,,
EMG Kettlebell Set,emg-kettlebell-set,"Cast iron kettlebell trio (8kg / 12kg / 16kg) for swings, presses, and conditioning.",emg-kettlebell-set.jpg,category:Strength,,,STR-KB-SET,165000.00,Standard Tax,70,true,,
EMG Functional Trainer,emg-functional-trainer,"Dual-stack functional trainer with high/low pulleys for cables, presses, and rehab work.",emg-functional-trainer.jpg,category:Home Gyms|featured:Featured,,,GYM-FT-01,2430000.00,Standard Tax,12,true,,
EMG Home Gym Station,emg-home-gym-station,"Single-station home gym with lat pulldown, chest press, and leg developer — full body in one footprint.",emg-home-gym-station.jpg,category:Home Gyms,,,GYM-HS-01,1665000.00,Standard Tax,15,true,,
EMG Yoga Mat Pro,emg-yoga-mat-pro,"10mm non-slip yoga mat with alignment marks. Dense cushioning for floor work and stretching.",emg-yoga-mat-pro.jpg,category:Accessories,,,ACC-YM-01,50000.00,Standard Tax,200,true,,
EMG Resistance Band Pack,emg-resistance-band-pack,"5-level latex resistance band set with door anchor and handles for travel workouts.",emg-resistance-band-pack.jpg,category:Accessories|featured:Featured,,,ACC-RB-05,37000.00,Standard Tax,250,true,,
EMG Ab Roller Kit,emg-ab-roller-kit,"Dual-wheel ab roller with knee pad for core strength and stability training.",emg-ab-roller-kit.jpg,category:Accessories,,,ACC-AB-01,31000.00,Standard Tax,180,true,,
EMG Jump Rope Speed,emg-jump-rope-speed,"Adjustable steel-cable speed rope with ball bearings for HIIT and conditioning.",emg-jump-rope-speed.jpg,category:Accessories,,,ACC-JR-01,23000.00,Standard Tax,300,true,,
